id,text,gold_label,category,condition,run_number,raw_response,parsed_label
8,"Oh sure, because customer support has been SO responsive.",Negative,ambiguous,zero_shot,1,Positive,Positive
8,"Oh sure, because customer support has been SO responsive.",Negative,ambiguous,few_shot,1,Positive,Positive
8,"Oh sure, because customer support has been SO responsive.",Negative,ambiguous,cot,1,Final: Negative,Negative
9,@Rinerh -hugs- I really wish I could love :( I miss you.,Negative,clear,zero_shot,1,Negative,Negative
9,@Rinerh -hugs- I really wish I could love :( I miss you.,Negative,clear,few_shot,1,Positive,Positive
9,@Rinerh -hugs- I really wish I could love :( I miss you.,Negative,clear,cot,1,Final: Negative,Negative
10,I don't think this could have gone any better.,Positive,ambiguous,zero_shot,1,Positive,Positive
10,I don't think this could have gone any better.,Positive,ambiguous,few_shot,1,Positive,Positive
10,I don't think this could have gone any better.,Positive,ambiguous,cot,1,Final: Negative,Negative
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,zero_shot,1,Positive,Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,zero_shot,2,Positive,Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,zero_shot,3,Positive,Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,few_shot,1,Positive,Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,few_shot,2,Positive,Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,few_shot,3,Positive,Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,cot,1,Final: Positive,Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,cot,2,"Final: Positive |  | Explanation: | 1. The text contains positive words like ""happy"" and enthusiastic punctuation marks ("":)""). | 2. There is a mention of the recipient's birthday, which typically elicits positive feelings. | 3. The use of emojis further reinforces the positive sentiment. | 4. The overall tone is cheerful and celebratory. |  | The combination of these factors clearly indicates a positive sentiment.",Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,cot,3,Final: Positive,Positive
12,"I wasn't happy before, and this didn't help at all.",Negative,ambiguous,zero_shot,1,Negative,Negative
12,"I wasn't happy before, and this didn't help at all.",Negative,ambiguous,few_shot,1,Negative,Negative
12,"I wasn't happy before, and this didn't help at all.",Negative,ambiguous,cot,1,Final: Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,zero_shot,1,Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,zero_shot,2,Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,zero_shot,3,Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,few_shot,1,Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,few_shot,2,Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,few_shot,3,Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,cot,1,Final: Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,cot,2,Final: Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,cot,3,Final: Negative,Negative
14,:( :( :( when pay day doesn't make you any less poor :( :( :(,Negative,clear,zero_shot,1,Negative,Negative
14,:( :( :( when pay day doesn't make you any less poor :( :( :(,Negative,clear,few_shot,1,Negative,Negative
14,:( :( :( when pay day doesn't make you any less poor :( :( :(,Negative,clear,cot,1,Final: Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,zero_shot,1,Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,zero_shot,2,Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,zero_shot,3,Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,few_shot,1,Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,few_shot,2,Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,few_shot,3,Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,cot,1,"Final: Negative |  | Explanation: | 1. The text contains no explicitly positive or negative emotional words or phrases. | 2. There are no negations that would alter the overall sentiment significantly. | 3. There is one sarcastic element, but it's not strong enough to impact the overall sentiment judgment. | 4. Despite the use of "":-)"", which might be a sign of sarcasm, the text itself does not convey any negative emotions. |  | The context and tone appear neutral, focusing on an activity that lasted half an hour without expressing any positive or negative feelings about the experience.",Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,cot,2,Final: Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,cot,3,"Final: Negative |  | Explanation: | - The text contains no positive emotional or evaluative words. | - There are no negations that affect the meaning negatively. | - The sentence is neutral in tone and does not contain sarcasm or irony. | - The phrase ""I spent a half hour total on this"" implies an effort, which could be seen as a negative action (spending time) but lacks positive sentiment context.",Negative
16,"Wow, my flight got delayed again, love that for me.",Negative,ambiguous,zero_shot,1,Negative,Negative
16,"Wow, my flight got delayed again, love that for me.",Negative,ambiguous,few_shot,1,Negative,Negative
16,"Wow, my flight got delayed again, love that for me.",Negative,ambiguous,cot,1,Final: Negative,Negative
17,Tomorrow at the #GoldCoast :) http://t.co/yRat44jWAy,Positive,clear,zero_shot,1,Positive,Positive
17,Tomorrow at the #GoldCoast :) http://t.co/yRat44jWAy,Positive,clear,few_shot,1,Positive,Positive
17,Tomorrow at the #GoldCoast :) http://t.co/yRat44jWAy,Positive,clear,cot,1,Final: Positive,Positive
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,zero_shot,1,Negative,Negative
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,zero_shot,2,Negative,Negative
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,zero_shot,3,Negative,Negative
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,few_shot,1,Negative,Negative
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,few_shot,2,Negative,Negative
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,few_shot,3,Negative,Negative
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,cot,1,Final: Positive,Positive
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,cot,2,Final: Negative,Negative
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,cot,3,Final: Positive,Positive
19,Love how the update broke the one feature I actually used.,Negative,ambiguous,zero_shot,1,Positive,Positive
19,Love how the update broke the one feature I actually used.,Negative,ambiguous,few_shot,1,Negative,Negative
19,Love how the update broke the one feature I actually used.,Negative,ambiguous,cot,1,Final: Positive,Positive
20,@ellegowers ahaha I'm laying on my bed like WHYYYYYY. The pretty wine glasses sucked me in :(,Negative,clear,zero_shot,1,Positive,Positive
20,@ellegowers ahaha I'm laying on my bed like WHYYYYYY. The pretty wine glasses sucked me in :(,Negative,clear,few_shot,1,Positive,Positive
20,@ellegowers ahaha I'm laying on my bed like WHYYYYYY. The pretty wine glasses sucked me in :(,Negative,clear,cot,1,Final: Negative,Negative
21,what usually happens :( https://t.co/6o3ZgNOnvh,Negative,clear,zero_shot,1,Negative,Negative
21,what usually happens :( https://t.co/6o3ZgNOnvh,Negative,clear,few_shot,1,Negative,Negative
21,what usually happens :( https://t.co/6o3ZgNOnvh,Negative,clear,cot,1,Final: Negative,Negative
22,@fxckedbutbands you look good in that outfit :),Positive,clear,zero_shot,1,Positive,Positive
22,@fxckedbutbands you look good in that outfit :),Positive,clear,few_shot,1,Positive,Positive
22,@fxckedbutbands you look good in that outfit :),Positive,clear,cot,1,Final: Positive,Positive
23,Grande :)  https://t.co/gsaaxNpR8u,Positive,clear,zero_shot,1,Positive,Positive
23,Grande :)  https://t.co/gsaaxNpR8u,Positive,clear,few_shot,1,Positive,Positive
23,Grande :)  https://t.co/gsaaxNpR8u,Positive,clear,cot,1,Final: Positive,Positive
24,@IrlyanaVL mind to follow back? :),Positive,clear,zero_shot,1,Positive,Positive
24,@IrlyanaVL mind to follow back? :),Positive,clear,few_shot,1,Positive,Positive
24,@IrlyanaVL mind to follow back? :),Positive,clear,cot,1,Final: Negative,Negative
25,@my_nameis_dan Download only isn't it? :(,Negative,clear,zero_shot,1,Negative,Negative
25,@my_nameis_dan Download only isn't it? :(,Negative,clear,few_shot,1,Negative,Negative
25,@my_nameis_dan Download only isn't it? :(,Negative,clear,cot,1,Final: Negative,Negative
26,@lovemybooksUK It's such a good idea to share excellent book titles! What would we do without them all? Keep up the good work :),Positive,clear,zero_shot,1,Positive,Positive
26,@lovemybooksUK It's such a good idea to share excellent book titles! What would we do without them all? Keep up the good work :),Positive,clear,few_shot,1,Positive,Positive
26,@lovemybooksUK It's such a good idea to share excellent book titles! What would we do without them all? Keep up the good work :),Positive,clear,cot,1,Final: Positive,Positive
27,This is sick! Best purchase in a while.,Positive,ambiguous,zero_shot,1,Positive,Positive
27,This is sick! Best purchase in a while.,Positive,ambiguous,few_shot,1,Positive,Positive
27,This is sick! Best purchase in a while.,Positive,ambiguous,cot,1,Final: Positive,Positive
28,"This app doesn't crash anymore, finally something that works.",Positive,ambiguous,zero_shot,1,Positive,Positive
28,"This app doesn't crash anymore, finally something that works.",Positive,ambiguous,few_shot,1,Positive,Positive
28,"This app doesn't crash anymore, finally something that works.",Positive,ambiguous,cot,1,Final: Positive,Positive
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,zero_shot,1,Negative,Negative
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,zero_shot,2,Negative,Negative
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,zero_shot,3,Negative,Negative
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,few_shot,1,Negative,Negative
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,few_shot,2,Negative,Negative
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,few_shot,3,Negative,Negative
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,cot,1,Final: Negative,Negative
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,cot,2,Final: Negative,Negative
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,cot,3,Final: Negative,Negative
30,@MahamK97   I was just tired yesterday   Choroo ga nahi us ko :D,Positive,clear,zero_shot,1,Positive,Positive
30,@MahamK97   I was just tired yesterday   Choroo ga nahi us ko :D,Positive,clear,few_shot,1,Positive,Positive
30,@MahamK97   I was just tired yesterday   Choroo ga nahi us ko :D,Positive,clear,cot,1,"Final: Negative |  | Reasoning: | 1. The text contains the phrase ""Choroo ga nahi"" which translates to ""Don't you think"" in English. | 2. While this phrase is not inherently negative, it could be interpreted negatively if paired with another statement expressing tiredness or dissatisfaction about a previous experience involving someone named ""us"". | 3. Given that the context of tiredness and possibly a frustrated tone (implied by the use of sarcasm) seems to dominate in this text. | 4. The overall sentiment is one of resignation and mild frustration, leaning towards negativity rather than positivity.",Negative
31,@aIcouholic ahh!! thank u love :D,Positive,clear,zero_shot,1,Positive,Positive
31,@aIcouholic ahh!! thank u love :D,Positive,clear,few_shot,1,Positive,Positive
31,@aIcouholic ahh!! thank u love :D,Positive,clear,cot,1,"Final: Negative |  | Explanation: | 1. The text contains emotional phrases like ""ahh!!"" and "":D"", which indicate excitement or joy. | 2. There are no negation words that would negate these positive expressions. | 3. Sarcasm is not present in the phrase, as it lacks irony or contradiction to the intended meaning. | 4. Combining these observations, the overall sentiment is clearly positive due to the enthusiastic and affectionate language used. |  | Final: Positive",Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,zero_shot,1,Negative,Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,zero_shot,2,Negative,Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,zero_shot,3,Negative,Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,few_shot,1,Negative,Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,few_shot,2,Negative,Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,few_shot,3,Negative,Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,cot,1,Final: Negative,Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,cot,2,Final: Negative,Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,cot,3,Final: Negative,Negative
33,"It's not perfect, but I really can't find much to complain about.",Positive,ambiguous,zero_shot,1,Positive,Positive
33,"It's not perfect, but I really can't find much to complain about.",Positive,ambiguous,few_shot,1,Positive,Positive
33,"It's not perfect, but I really can't find much to complain about.",Positive,ambiguous,cot,1,"Firstly, let's identify the emotional or evaluative words/phrases in the text: | - ""not perfect"" (negative) | - ""can't find much to complain about"" (positive) |  | Next, we check for negation and how it affects meaning: | There is no explicit negation present. |  | Then, we look for sarcasm/irony: | The text seems neutral or slightly positive, but there's a suggestion of a slight negative tone in the statement that ""It's not perfect."" |  | Finally, combining these observations into an overall sentiment judgment: |  | Final: Positive",Positive
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,zero_shot,1,Positive,Positive
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,zero_shot,2,Positive,Positive
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,zero_shot,3,Positive,Positive
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,few_shot,1,Positive,Positive
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,few_shot,2,Positive,Positive
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,few_shot,3,Positive,Positive
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,cot,1,Final: Negative,Negative
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,cot,2,Final: Negative,Negative
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,cot,3,Final: Negative,Negative
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,zero_shot,1,Positive,Positive
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,zero_shot,2,Positive,Positive
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,zero_shot,3,Positive,Positive
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,few_shot,1,Positive,Positive
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,few_shot,2,Positive,Positive
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,few_shot,3,Positive,Positive
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,cot,1,Final: Negative,Negative
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,cot,2,Final: Positive,Positive
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,cot,3,"Final: Positive |  | **Reasoning:** | 1. **Identify emotional or evaluative words/phrases**: The text contains positive descriptors such as ""garlic"", ""olive oil"", ""sun dried tomatoes"", and ""century tuna"". | 2. **Check for negation**: There are no words indicating a negative sentiment. | 3. **Check for sarcasm/irony**: The use of "" :)"" (smiling face emoji) suggests that the content is meant in a positive context, not sarcastic or ironic. | 4. **Combine these observations into an overall sentiment judgment**: |    - Positive descriptors are used. |    - There are no negative indicators present. |    - The inclusion of emojis and hashtags typically indicates a positive tone. |  | The text appears to be encouraging and inviting, focusing on the presentation of food items in a pleasant manner, which is generally viewed as positive.",Positive
36,"The reviews undersell it, this is genuinely great.",Positive,ambiguous,zero_shot,1,Positive,Positive
36,"The reviews undersell it, this is genuinely great.",Positive,ambiguous,few_shot,1,Positive,Positive
36,"The reviews undersell it, this is genuinely great.",Positive,ambiguous,cot,1,Final: Positive,Positive
37,"Not gonna lie, this slaps.",Positive,ambiguous,zero_shot,1,Negative,Negative
37,"Not gonna lie, this slaps.",Positive,ambiguous,zero_shot,2,Negative,Negative
37,"Not gonna lie, this slaps.",Positive,ambiguous,zero_shot,3,Negative,Negative
37,"Not gonna lie, this slaps.",Positive,ambiguous,few_shot,1,Negative,Negative
37,"Not gonna lie, this slaps.",Positive,ambiguous,few_shot,2,Negative,Negative
37,"Not gonna lie, this slaps.",Positive,ambiguous,few_shot,3,Negative,Negative
37,"Not gonna lie, this slaps.",Positive,ambiguous,cot,1,Final: Negative,Negative
37,"Not gonna lie, this slaps.",Positive,ambiguous,cot,2,Final: Negative,Negative
37,"Not gonna lie, this slaps.",Positive,ambiguous,cot,3,Final: Negative,Negative
38,Nothing says 'relaxing weekend' like a broken washing machine.,Negative,ambiguous,zero_shot,1,Negative,Negative
38,Nothing says 'relaxing weekend' like a broken washing machine.,Negative,ambiguous,zero_shot,2,Negative,Negative
38,Nothing says 'relaxing weekend' like a broken washing machine.,Negative,ambiguous,zero_shot,3,Negative,Negative
38,Nothing says 'relaxing weekend' like a broken washing machine.,Negative,ambiguous,few_shot,1,Negative,Negative
38,Nothing says 'relaxing weekend' like a broken washing machine.,Negative,ambiguous,few_shot,2,Negative,Negative
38,Nothing says 'relaxing weekend' like a broken washing machine.,Negative,ambiguous,few_shot,3,Negative,Negative
38,Nothing says 'relaxing weekend' like a broken washing machine.,Negative,ambiguous,cot,1,Final: Negative,Negative
38,Nothing says 'relaxing weekend' like a broken washing machine.,Negative,ambiguous,cot,2,Final: Negative,Negative
38,Nothing says 'relaxing weekend' like a broken washing machine.,Negative,ambiguous,cot,3,Final: Negative,Negative
39,"I don't think the movie is terrible, it's actually much worse than that.",Negative,ambiguous,zero_shot,1,Negative,Negative
39,"I don't think the movie is terrible, it's actually much worse than that.",Negative,ambiguous,few_shot,1,Negative,Negative
39,"I don't think the movie is terrible, it's actually much worse than that.",Negative,ambiguous,cot,1,Final: Negative,Negative
40,I want a flipping Belgium waffle thrown in my face :(,Negative,clear,zero_shot,1,Negative,Negative
40,I want a flipping Belgium waffle thrown in my face :(,Negative,clear,few_shot,1,Negative,Negative
40,I want a flipping Belgium waffle thrown in my face :(,Negative,clear,cot,1,Final: Negative,Negative
41,"@SachinKalbag Ah Sachin, why do you bring up unimportant stuff like context and dampen @saliltripathi 's excitement! :-)",Positive,clear,zero_shot,1,Negative,Negative
41,"@SachinKalbag Ah Sachin, why do you bring up unimportant stuff like context and dampen @saliltripathi 's excitement! :-)",Positive,clear,few_shot,1,Negative,Negative
41,"@SachinKalbag Ah Sachin, why do you bring up unimportant stuff like context and dampen @saliltripathi 's excitement! :-)",Positive,clear,cot,1,Final: Negative,Negative
42,@mrandmrsMCT no way I missed it too :(,Negative,clear,zero_shot,1,Negative,Negative
42,@mrandmrsMCT no way I missed it too :(,Negative,clear,few_shot,1,Positive,Positive
42,@mrandmrsMCT no way I missed it too :(,Negative,clear,cot,1,Final: Negative,Negative
43,"Not bad at all, actually really impressed.",Positive,ambiguous,zero_shot,1,Positive,Positive
43,"Not bad at all, actually really impressed.",Positive,ambiguous,few_shot,1,Positive,Positive
43,"Not bad at all, actually really impressed.",Positive,ambiguous,cot,1,Final: Positive,Positive
44,wonho reminds me of someone &gt;:( i just cant put my finger to it,Negative,clear,zero_shot,1,Negative,Negative
44,wonho reminds me of someone &gt;:( i just cant put my finger to it,Negative,clear,zero_shot,2,Negative,Negative
44,wonho reminds me of someone &gt;:( i just cant put my finger to it,Negative,clear,zero_shot,3,Negative,Negative
44,wonho reminds me of someone &gt;:( i just cant put my finger to it,Negative,clear,few_shot,1,Negative,Negative
44,wonho reminds me of someone &gt;:( i just cant put my finger to it,Negative,clear,few_shot,2,Negative,Negative
44,wonho reminds me of someone &gt;:( i just cant put my finger to it,Negative,clear,few_shot,3,Negative,Negative
44,wonho reminds me of someone &gt;:( i just cant put my finger to it,Negative,clear,cot,1,Final: Negative,Negative
44,wonho reminds me of someone &gt;:( i just cant put my finger to it,Negative,clear,cot,2,Final: Negative,Negative
44,wonho reminds me of someone &gt;:( i just cant put my finger to it,Negative,clear,cot,3,Final: Negative,Negative
45,I guess losing my luggage really 'made my trip'.,Negative,ambiguous,zero_shot,1,Negative,Negative
45,I guess losing my luggage really 'made my trip'.,Negative,ambiguous,few_shot,1,Negative,Negative
45,I guess losing my luggage really 'made my trip'.,Negative,ambiguous,cot,1,Final: Negative,Negative
46,so I was driving home rn and I almost ran over a coyote :( shit scared the fuck outta me.,Negative,clear,zero_shot,1,Negative,Negative
46,so I was driving home rn and I almost ran over a coyote :( shit scared the fuck outta me.,Negative,clear,zero_shot,2,Negative,Negative
46,so I was driving home rn and I almost ran over a coyote :( shit scared the fuck outta me.,Negative,clear,zero_shot,3,Negative,Negative
46,so I was driving home rn and I almost ran over a coyote :( shit scared the fuck outta me.,Negative,clear,few_shot,1,Negative,Negative
46,so I was driving home rn and I almost ran over a coyote :( shit scared the fuck outta me.,Negative,clear,few_shot,2,Negative,Negative
46,so I was driving home rn and I almost ran over a coyote :( shit scared the fuck outta me.,Negative,clear,few_shot,3,Negative,Negative
46,so I was driving home rn and I almost ran over a coyote :( shit scared the fuck outta me.,Negative,clear,cot,1,Final: Negative,Negative
46,so I was driving home rn and I almost ran over a coyote :( shit scared the fuck outta me.,Negative,clear,cot,2,Final: Negative,Negative
46,so I was driving home rn and I almost ran over a coyote :( shit scared the fuck outta me.,Negative,clear,cot,3,Final: Negative,Negative
