id,text,gold_label,category
82,Hi BAM ! @BarsAndMelody  Can you follow my bestfriend @969Horan696 ?  She loves you a lot :)  See you in Warsaw &lt;3  Love you &lt;3 x39,Positive,clear
83,"That's fire, honestly one of the best I've tried.",Positive,ambiguous
84,"@zXw0lfXz Hi Adrian, you should have this parcel on Monday or Tuesday :) -Pris",Positive,clear
85,"I take back what I said earlier, this is actually decent.",Positive,ambiguous
86,"Yeah, because waiting three hours on hold is such a treat.",Negative,ambiguous
87,jackson looks so exhausted :-(,Negative,clear
88,"@kendrahatesu FOLLOWED ME THANKS, AND @justinbieber PLEASE FOLLOWED ME TOO :(",Negative,clear
89,"I have zero complaints, genuinely great experience.",Positive,ambiguous
90,This is exactly the kind of 'quality' I expected.,Negative,ambiguous
91,@KyraaVazquez u guys are together?? :(,Negative,clear
92,Nice rainy walk to work. Stopped to look at rain on the river and saw a kingfisher :),Positive,clear
93,Thankyou sa treat kanina and sorry sa breakdown bc of Sir Mags :(( @ZAIRERR,Negative,clear
94,Went to bed with headache...woke up with headache :(,Negative,clear
95,"The instructions weren't unclear, they were just plain wrong.",Negative,ambiguous
96,@SpazzyTsukihara hehehehe thats the point :p,Positive,clear
97,"Never thought I'd say this, but I loved it.",Positive,ambiguous
98,"@rodtamepoet  ""Rod Tame is embracing his inner actor with aplomb"" :-) Congratulations mate",Positive,clear
99,@santhanaram You look like you are having lots of fun! We hope you had many good takeaways today :),Positive,clear
100,Honestly didn't expect to enjoy it this much.,Positive,ambiguous
